id,test_num,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10,sum_correct
372908084,1,90 градусов,"Сначала выполняется умножение и деление, затем сложение и вычитание",Равносторонние,"Математическое утверждение, истинность которого установлена путём доказательства",0 и 1,"3,66",Ось абсцисс,"-7,8",Декарта,22,5
372908084,1,90 градусов,"Сначала выполняется умножение и деление, затем сложение и вычитание",Равносторонние,"Математическое утверждение, истинность которого установлена путём доказательства",0 и 1,"3,66",Ось абсцисс,"-7,8",Декарта,22,5
372908084,1,90 градусов,"Сначала выполняется сложение и вычитание, затем умножение и деление",Прямоугольные,"Утверждение, которое не требует доказательства",2 и 3,"3,64",Ось симметрии,0,Тригонометрии,20,0
372908084,1,90 градусов,"Сначала выполняется умножение и деление, затем сложение и вычитание",Равносторонние,"Математическое утверждение, истинность которого установлена путём доказательства",0 и 1,"3,66",Ось абсцисс,"-7,8",Декарта,22,5
372908084,1,90 градусов,"Сначала выполняется умножение и деление, затем сложение и вычитание",Равносторонние,"Математическое утверждение, истинность которого установлена путём доказательства",1 и 3,"3,65",Ось ординат,"7,8",Пифагора,24,5
372908084,1,90 градусов,"Сначала выполняется умножение и деление, затем сложение и вычитание",Равносторонние,"Математическое утверждение, истинность которого установлена путём доказательства",0 и 1,"3,66",Ось абсцисс,"-7,8",Декарта,22,5
372908084,1,90 градусов,"Сначала выполняется умножение и деление, затем сложение и вычитание",Равносторонние,"Математическое утверждение, истинность которого установлена путём доказательства",0 и 1,"3,66",Ось абсцисс,"-7,8",Декарта,22,5
372908084,1,90 градусов,"Сначала выполняется умножение и деление, затем сложение и вычитание",Равносторонние,"Предположение или догадка, которая требует доказательства",0 и 2,"3,7",Ось аппликат,"8,7",Пуанкаре,42,1
372908084,1,90 градусов,"Сначала выполняется умножение и деление, затем сложение и вычитание",Равносторонние,"Математическое утверждение, истинность которого установлена путём доказательства",0 и 1,"3,66",Ось абсцисс,"-7,8",Декарта,22,5
372908084,1,360 градусов,"Все действия выполняются по порядку слева направо, независимо от стоящих знаков",Правильные,"Предположение или догадка, которая требует доказательства",0 и 2,"3,7",Ось аппликат,"8,7",Пуанкаре,42,0
372908084,1,90 градусов,"Сначала выполняется умножение и деление, затем сложение и вычитание",Равносторонние,"Предположение или догадка, которая требует доказательства",0 и 2,"3,7",Ось аппликат,"8,7",Пуанкаре,42,1
372908084,1,90 градусов,"Сначала выполняется умножение и деление, затем сложение и вычитание",Равносторонние,"Математическое утверждение, истинность которого установлена путём доказательства",0 и 1,"3,66",Ось абсцисс,"-7,8",Декарта,22,5
372908084,1,90 градусов,"Сначала выполняется умножение и деление, затем сложение и вычитание",Равносторонние,"Математическое утверждение, истинность которого установлена путём доказательства",0 и 1,"3,66",Ось абсцисс,"-7,8",Декарта,22,5
372908084,1,90 градусов,"Сначала выполняется умножение и деление, затем сложение и вычитание",Равносторонние,"Математическое утверждение, истинность которого установлена путём доказательства",0 и 1,"3,66",Ось абсцисс,"-7,8",Декарта,22,5
372908084,3,"Кривые, прямые",Секундар,Станет не определено,5,Уменьшитель,Бесконечность,Только при определенных условиях,Шестиугольник,Основатель алгебры,Отношению площади круга к квадрату радиуса,0
372908084,1,180 градусов,"Сначала выполняется сложение и вычитание, затем умножение и деление",Подобные,"Исходное положение какой-либо теории, принимаемое в рамках данной теории истинным без требования доказательства",1 и 3,"3,65",Ось ординат,"7,8",Пифагора,24,5
372908084,1,90 градусов,"Сначала выполняется умножение и деление, затем сложение и вычитание",Равносторонние,"Математическое утверждение, истинность которого установлена путём доказательства",0 и 1,"3,66",Ось абсцисс,"-7,8",Декарта,22,5
372908084,2,18,45,Тунец,ц,Правое заднее,"Один на лодке, а другой вплавь",Цифры,15,Молния,11,3
1365114770,2,18,16,Дельфин,ч,Правое заднее,Они были на разных берегах,Букву Е,5,Молния,8,4
